,County,mean,max
0,Camden,10.659460067749023,15.463361740112305
1,Gates,10.70090103149414,12.955689430236816
2,Iredell,10.478034973144531,14.595643997192383
3,Wilkes,11.705338478088379,28.587848663330078
4,Union,11.138278007507324,12.34311580657959
5,Cabarrus,10.652674674987793,11.71001148223877
6,Wake,10.744330406188965,12.817520141601562
7,Franklin,10.916791915893555,13.728490829467773
8,Pender,10.877283096313477,21.3941593170166
9,New Hanover,13.869032859802246,20.955196380615234
10,Durham,9.849374771118164,12.068777084350586
11,Orange,10.504016876220703,12.977481842041016
12,Chatham,10.029560089111328,11.884655952453613
13,Alamance,11.657947540283203,13.57292652130127
14,Harnett,11.725201606750488,13.278022766113281
15,Moore,9.305282592773438,11.794183731079102
16,Beaufort,10.021900177001953,13.22518539428711
17,Martin,10.587579727172852,13.694892883300781
18,Pitt,11.847027778625488,15.613016128540039
19,Greene,13.345252990722656,16.528518676757812
20,Wilson,12.614678382873535,15.484945297241211
21,Wayne,12.365616798400879,14.155379295349121
22,Anson,9.46501636505127,10.83213996887207
23,Lenoir,12.08932876586914,14.44888973236084
24,Robeson,12.296127319335938,15.635159492492676
25,Hoke,10.859942436218262,13.314334869384766
26,Johnston,12.325862884521484,14.731344223022461
27,Brunswick,10.535938262939453,21.522388458251953
28,Columbus,11.44772720336914,15.169232368469238
29,Bladen,10.661462783813477,14.575738906860352
30,Onslow,10.857439041137695,20.236268997192383
31,Sampson,12.549308776855469,16.01264190673828
32,Carteret,15.6347074508667,25.366313934326172
33,Duplin,12.106557846069336,13.590778350830078
34,Scotland,11.389819145202637,13.387853622436523
35,Richmond,9.330915451049805,10.61602783203125
36,Jones,10.219732284545898,14.10763168334961
37,Craven,10.083405494689941,14.851398468017578
38,Cumberland,11.3189697265625,14.043437957763672
39,Pamlico,13.842057228088379,22.823057174682617
40,Mecklenburg,9.615521430969238,12.19640064239502
41,Jackson,16.868432998657227,27.500022888183594
42,Transylvania,16.319278717041016,27.989686965942383
43,Hyde,15.978304862976074,24.471088409423828
44,Montgomery,8.946535110473633,9.856128692626953
45,Stanly,10.745036125183105,12.531119346618652
46,Gaston,9.710824012756348,11.500880241394043
47,Cleveland,10.57023811340332,15.744956016540527
48,Macon,16.682004928588867,29.065086364746094
49,Cherokee,13.121362686157227,27.067874908447266
50,Clay,14.933930397033691,26.975576400756836
51,Henderson,15.906264305114746,22.66008758544922
52,Rutherford,11.029216766357422,22.863100051879883
53,Polk,10.285711288452148,14.842864990234375
54,Dare,17.5750732421875,25.321819305419922
55,Lee,10.982266426086426,12.833097457885742
56,Graham,15.320199966430664,31.435989379882812
57,Haywood,16.43468475341797,33.54357147216797
58,Swain,16.66744041442871,29.441726684570312
59,Lincoln,9.704068183898926,13.78036880493164
60,Buncombe,15.315696716308594,32.87380599975586
61,Rowan,10.463892936706543,12.047469139099121
62,Davidson,11.063065528869629,14.75508975982666
63,Randolph,10.750324249267578,13.242227554321289
64,McDowell,13.34752082824707,27.67165756225586
65,Catawba,9.679375648498535,14.80715560913086
66,Burke,11.479851722717285,31.989831924438477
67,Tyrrell,11.582512855529785,17.978103637695312
68,Edgecombe,12.208319664001465,13.255228996276855
69,Washington,10.997138977050781,16.702232360839844
70,Nash,11.860349655151367,13.638200759887695
71,Madison,15.267114639282227,27.307371139526367
72,Yancey,16.82564926147461,32.58544921875
73,Davie,10.410776138305664,11.65680980682373
74,Caldwell,10.844073295593262,29.28231430053711
75,Alexander,11.03857135772705,16.774206161499023
76,Bertie,10.285955429077148,15.192863464355469
77,Mitchell,19.421384811401367,30.414785385131836
78,Guilford,10.486806869506836,12.466218948364258
79,Avery,20.69763946533203,33.86954116821289
80,Forsyth,9.761588096618652,11.651593208312988
81,Chowan,12.52550220489502,16.052310943603516
82,Halifax,11.056304931640625,13.250073432922363
83,Granville,10.66580581665039,12.922551155090332
84,Perquimans,12.054972648620605,17.389142990112305
85,Yadkin,10.017355918884277,11.874517440795898
86,Currituck,14.016383171081543,19.731779098510742
87,Pasquotank,11.588611602783203,16.6174259185791
88,Watauga,18.935144424438477,30.140377044677734
89,Vance,10.921669006347656,13.09988021850586
90,Northampton,11.387682914733887,15.568277359008789
91,Warren,9.802828788757324,12.493593215942383
92,Person,11.621244430541992,12.969331741333008
93,Caswell,10.11188793182373,12.01279067993164
94,Rockingham,9.450888633728027,11.368718147277832
95,Surry,10.913653373718262,18.355648040771484
96,Hertford,10.572463989257812,12.501195907592773
97,Stokes,9.420602798461914,13.792451858520508
98,Ashe,14.743032455444336,25.907577514648438
99,Alleghany,17.385807037353516,27.50041389465332
