,County,mean,max
0,Camden,13.439215660095215,19.89260482788086
1,Gates,12.305977821350098,13.899541854858398
2,Iredell,10.58475112915039,15.307586669921875
3,Wilkes,13.64169692993164,27.188377380371094
4,Union,12.364008903503418,15.115739822387695
5,Cabarrus,11.512554168701172,14.07707405090332
6,Wake,11.3342866897583,16.199893951416016
7,Franklin,11.284688949584961,14.101442337036133
8,Pender,13.705195426940918,33.04191970825195
9,New Hanover,20.56063461303711,35.52792739868164
10,Durham,9.561930656433105,13.18247127532959
11,Orange,10.472710609436035,14.335978507995605
12,Chatham,10.252317428588867,11.986665725708008
13,Alamance,11.161728858947754,12.59400749206543
14,Harnett,14.05650520324707,18.571197509765625
15,Moore,10.71182632446289,15.61760425567627
16,Beaufort,12.590744018554688,17.264015197753906
17,Martin,12.227386474609375,14.14805793762207
18,Pitt,13.335829734802246,15.261001586914062
19,Greene,14.67578411102295,15.755927085876465
20,Wilson,14.19272232055664,16.15984535217285
21,Wayne,14.205548286437988,15.766115188598633
22,Anson,10.014505386352539,12.391303062438965
23,Lenoir,13.174884796142578,14.587065696716309
24,Robeson,13.11129093170166,16.613916397094727
25,Hoke,11.890316009521484,15.526700973510742
26,Johnston,14.393821716308594,16.097549438476562
27,Brunswick,13.939599990844727,37.43305969238281
28,Columbus,12.940719604492188,17.37283706665039
29,Bladen,11.342753410339355,15.581405639648438
30,Onslow,16.462329864501953,32.970882415771484
31,Sampson,13.257223129272461,15.049930572509766
32,Carteret,23.706159591674805,34.384952545166016
33,Duplin,13.982637405395508,17.84309959411621
34,Scotland,11.916438102722168,13.632355690002441
35,Richmond,10.144094467163086,12.12442398071289
36,Jones,12.7976655960083,16.13907241821289
37,Craven,13.314894676208496,21.06230926513672
38,Cumberland,12.112293243408203,15.96434497833252
39,Pamlico,21.55314064025879,31.264873504638672
40,Mecklenburg,11.152393341064453,14.30530071258545
41,Jackson,15.904229164123535,27.616668701171875
42,Transylvania,16.24966049194336,30.166112899780273
43,Hyde,22.19869613647461,31.627527236938477
44,Montgomery,10.699177742004395,12.564735412597656
45,Stanly,12.372991561889648,14.755425453186035
46,Gaston,10.194783210754395,11.917631149291992
47,Cleveland,11.213113784790039,17.58147430419922
48,Macon,17.29038429260254,28.969200134277344
49,Cherokee,12.751676559448242,24.826534271240234
50,Clay,14.202888488769531,27.163801193237305
51,Henderson,16.764724731445312,22.1724910736084
52,Rutherford,11.291071891784668,24.57863998413086
53,Polk,11.0282621383667,17.385265350341797
54,Dare,25.0401554107666,39.08956527709961
55,Lee,13.983257293701172,17.757400512695312
56,Graham,16.974884033203125,32.16899871826172
57,Haywood,17.38098907470703,33.32528305053711
58,Swain,17.477571487426758,31.570045471191406
59,Lincoln,9.947794914245605,14.614221572875977
60,Buncombe,16.393945693969727,34.14393997192383
61,Rowan,10.775897979736328,12.206743240356445
62,Davidson,11.148550987243652,13.041120529174805
63,Randolph,10.729217529296875,12.946077346801758
64,McDowell,14.105267524719238,29.926271438598633
65,Catawba,9.847297668457031,13.419440269470215
66,Burke,13.031088829040527,34.67955017089844
67,Tyrrell,14.929983139038086,23.395061492919922
68,Edgecombe,12.709529876708984,14.035186767578125
69,Washington,13.613162994384766,19.562450408935547
70,Nash,12.432251930236816,13.598743438720703
71,Madison,15.753480911254883,27.787822723388672
72,Yancey,17.83185577392578,33.79336166381836
73,Davie,10.599052429199219,12.691831588745117
74,Caldwell,13.3286714553833,38.05485916137695
75,Alexander,11.522107124328613,19.235193252563477
76,Bertie,11.866400718688965,15.504903793334961
77,Mitchell,19.06450843811035,28.266429901123047
78,Guilford,10.542160034179688,12.074708938598633
79,Avery,20.677038192749023,36.18341064453125
80,Forsyth,10.158479690551758,12.91413688659668
81,Chowan,13.711030960083008,17.929203033447266
82,Halifax,12.298089981079102,15.410187721252441
83,Granville,10.849772453308105,13.081128120422363
84,Perquimans,14.06796646118164,18.830669403076172
85,Yadkin,9.762475967407227,12.518315315246582
86,Currituck,16.720703125,23.043807983398438
87,Pasquotank,14.236899375915527,20.353654861450195
88,Watauga,20.067161560058594,39.7263298034668
89,Vance,11.371336936950684,13.502150535583496
90,Northampton,12.84740924835205,14.197263717651367
91,Warren,10.689776420593262,12.851446151733398
92,Person,11.694267272949219,17.731962203979492
93,Caswell,9.808553695678711,11.917366027832031
94,Rockingham,9.580195426940918,12.691804885864258
95,Surry,12.984064102172852,16.36143684387207
96,Hertford,12.350091934204102,14.080820083618164
97,Stokes,10.151792526245117,14.552291870117188
98,Ashe,16.186498641967773,28.557388305664062
99,Alleghany,17.758798599243164,30.100746154785156
