,County,Max Cost,Percent Land Developed Open Space,Std Cost
0,Camden,39,0.19402985074626866,2.743996464306005
1,Gates,39,0.906318082788671,5.875797202215921
2,Iredell,39,2.7536945812807883,9.990558283848582
3,Wilkes,39,1.4007561436672968,7.257228935964671
4,Union,39,2.3870689655172415,9.348667894894803
5,Cabarrus,39,3.001818181818182,10.395191036927358
6,Wake,39,3.7859649122807015,11.546389100577148
7,Franklin,39,0.9711462450592885,6.077135717426385
8,Pender,39,0.7541125541125541,5.370447268721615
9,New Hanover,39,1.6595744680851063,7.87205289871703
10,Durham,39,4.633971291866029,12.61947663134001
11,Orange,39,3.34375,10.919046933569797
12,Chatham,39,1.6769041769041768,7.911210734188809
13,Alamance,39,3.3589939024390243,10.941568541964143
14,Harnett,39,1.3732394366197183,7.188223109912585
15,Moore,39,1.505514705882353,7.513221612582964
16,Beaufort,39,0.7457929627740949,5.34132178443373
17,Martin,39,0.5302325581395348,4.516406004970175
18,Pitt,39,1.1904761904761905,6.709048954097796
19,Greene,39,0.4739583333333333,4.273141525653449
20,Wilson,39,1.2950191570881227,6.987751606147114
21,Wayne,39,1.483695652173913,7.460749134403517
22,Anson,39,1.1370262390670554,6.561340918995766
23,Lenoir,39,1.1891472868217055,6.7054211587558825
24,Robeson,39,1.2076186233014035,6.755648271588031
25,Hoke,39,1.4883720930232558,7.472031861590029
26,Johnston,39,1.3578947368421053,7.14940673206516
27,Brunswick,39,1.3356164383561644,7.092613751324909
28,Columbus,39,0.6088932806324111,4.834882306474971
29,Bladen,39,0.8959459459459459,5.842873672589106
30,Onslow,39,1.4063636363636363,7.271198191529087
31,Sampson,39,0.8263841421736159,5.616588893121429
32,Carteret,39,0.37889983579638753,3.8253795250265794
33,Duplin,39,1.316883116883117,7.044448907821658
34,Scotland,39,1.505791505791506,7.513884525793224
35,Richmond,39,1.3174603174603174,7.045938595593191
36,Jones,39,0.3556231003039514,3.707132736008291
37,Craven,39,0.6138748542557326,4.854304994464818
38,Cumberland,39,2.2932900432900434,9.17491866261813
39,Pamlico,39,0.5113871635610766,4.436505668634601
40,Mecklenburg,39,5.926470588235294,14.000332114202095
41,Jackson,39,1.6156685808039377,7.7717880624960785
42,Transylvania,39,1.2618218018914884,6.900641710307773
43,Hyde,39,0.14831460674157304,2.40047337838778
44,Montgomery,39,1.0862068965517242,6.417337730196278
45,Stanly,39,2.0851938895417157,8.773512873139515
46,Gaston,39,3.8948412698412698,11.693118532134648
47,Cleveland,39,2.0356589147286823,8.674490789510598
48,Macon,39,1.7933035714285714,8.168408754856468
49,Cherokee,39,1.46630859375,7.418623475021825
50,Clay,39,1.2780536246276069,6.943390403329838
51,Henderson,39,2.839492553778268,10.132990261240273
52,Rutherford,39,2.275,9.140534721776401
53,Polk,39,1.992391304347826,8.58682931936605
54,Dare,39,0.25374105400130126,3.135524929507825
55,Lee,39,1.2704545454545455,6.923414802007832
56,Graham,39,1.0108695652173914,6.196939225585116
57,Haywood,39,1.6911764705882353,7.943286756643619
58,Swain,39,0.39190353143841516,3.8898135364236013
59,Lincoln,39,2.9334619093539054,10.285903737211038
60,Buncombe,39,3.459882583170254,11.088941935744593
61,Rowan,39,1.914864864864865,8.42692246784292
62,Davidson,39,2.076729559748428,8.756691565075007
63,Randolph,39,2.90917068889864,10.246676669530466
64,McDowell,39,1.3953804347826086,7.243807727897507
65,Catawba,39,2.6462736373748608,9.808257118048772
66,Burke,39,1.637037037037037,7.820777083117345
67,Tyrrell,39,0.20526315789473684,2.8219018753149125
68,Edgecombe,39,0.9096209912536443,5.886238893483925
69,Washington,39,0.7570588235294118,5.380720774706983
70,Nash,39,1.2706766917293233,6.923999691113471
71,Madison,39,0.9236842105263158,5.930471455942662
72,Yancey,39,0.8210526315789474,5.598832486131035
73,Davie,39,1.3844155844155843,7.216342652745576
74,Caldwell,39,2.5657894736842106,9.668635573358605
75,Alexander,39,1.2336734693877551,6.82578311090026
76,Bertie,39,0.5828144458281445,4.731816850748946
77,Mitchell,39,0.7392156862745098,5.31817374047441
78,Guilford,39,4.864864864864865,12.886536368486805
79,Avery,39,1.625,7.79322622538317
80,Forsyth,39,6.76530612244898,14.767449740732642
81,Chowan,39,0.6857142857142857,5.125685618648933
82,Halifax,39,0.7115384615384616,5.219551036032837
83,Granville,39,1.6352201257861636,7.81662587347535
84,Perquimans,39,0.7963963963963964,5.515905387084363
85,Yadkin,39,2.4417391304347826,9.448054620177643
86,Currituck,39,0.3482142857142857,3.6686651460826494
87,Pasquotank,39,0.7087765957446809,5.209599118105647
88,Watauga,39,2.374908290535583,9.326373032558429
89,Vance,39,2.04,8.683225207260259
90,Northampton,39,0.7294117647058823,5.283466409568445
91,Warren,39,1.0383116883116883,6.278221458508068
92,Person,39,2.206925675675676,9.011080979183063
93,Caswell,39,1.2887490165224234,6.971394237653398
94,Rockingham,39,2.7297626293365793,9.950333588960927
95,Surry,39,2.315359477124183,9.216188480035244
96,Hertford,39,0.9198113207547169,5.918326507015765
97,Stokes,39,2.716275659824047,9.927567540590458
98,Ashe,39,1.7915966386554623,8.164707612151304
99,Alleghany,39,2.08102766798419,8.76523832513798
