,County,mean,max
0,Camden,14.186741828918457,25.03864860534668
1,Gates,13.407914161682129,16.556100845336914
2,Iredell,11.323659896850586,14.540300369262695
3,Wilkes,11.285350799560547,25.66832733154297
4,Union,11.822603225708008,16.026283264160156
5,Cabarrus,11.385236740112305,16.31277847290039
6,Wake,12.742227554321289,17.93829917907715
7,Franklin,12.220663070678711,15.296408653259277
8,Pender,11.492109298706055,27.993667602539062
9,New Hanover,14.318662643432617,27.22545623779297
10,Durham,11.002607345581055,12.456978797912598
11,Orange,10.681241989135742,13.361815452575684
12,Chatham,10.534941673278809,13.006568908691406
13,Alamance,11.912284851074219,14.024481773376465
14,Harnett,14.046834945678711,18.302736282348633
15,Moore,10.426095962524414,14.622547149658203
16,Beaufort,12.263171195983887,20.01116180419922
17,Martin,13.606297492980957,17.0455265045166
18,Pitt,14.841889381408691,16.885860443115234
19,Greene,15.491571426391602,16.721933364868164
20,Wilson,15.003412246704102,16.539663314819336
21,Wayne,14.909417152404785,16.424531936645508
22,Anson,9.752854347229004,12.622544288635254
23,Lenoir,14.110684394836426,16.08847427368164
24,Robeson,13.24103832244873,15.392135620117188
25,Hoke,12.75201416015625,15.929732322692871
26,Johnston,15.036005020141602,17.357704162597656
27,Brunswick,11.171890258789062,22.596044540405273
28,Columbus,11.907793045043945,14.599989891052246
29,Bladen,11.989006996154785,15.465886116027832
30,Onslow,12.53873062133789,24.635452270507812
31,Sampson,14.341845512390137,19.627105712890625
32,Carteret,20.00634765625,30.944307327270508
33,Duplin,13.304996490478516,16.46560287475586
34,Scotland,13.137977600097656,14.805703163146973
35,Richmond,10.103998184204102,13.145160675048828
36,Jones,11.224089622497559,14.235819816589355
37,Craven,11.666451454162598,15.408414840698242
38,Cumberland,13.252392768859863,17.183456420898438
39,Pamlico,17.518156051635742,26.88622283935547
40,Mecklenburg,10.890012741088867,15.72308349609375
41,Jackson,16.218902587890625,28.424097061157227
42,Transylvania,14.860523223876953,31.313505172729492
43,Hyde,20.209163665771484,28.29345703125
44,Montgomery,9.508596420288086,12.255537986755371
45,Stanly,12.467429161071777,15.99117374420166
46,Gaston,9.878433227539062,11.5
47,Cleveland,10.780320167541504,15.111781120300293
48,Macon,17.456220626831055,32.49237060546875
49,Cherokee,12.873200416564941,25.252777099609375
50,Clay,14.240147590637207,30.32928466796875
51,Henderson,14.355995178222656,24.465274810791016
52,Rutherford,10.468599319458008,22.77996063232422
53,Polk,9.715228080749512,14.941478729248047
54,Dare,22.48163414001465,29.45330810546875
55,Lee,12.498333930969238,15.236071586608887
56,Graham,17.067426681518555,36.69916915893555
57,Haywood,18.003747940063477,35.171051025390625
58,Swain,16.876203536987305,32.02512741088867
59,Lincoln,10.46820068359375,14.973848342895508
60,Buncombe,15.636269569396973,31.07434844970703
61,Rowan,11.501289367675781,13.470974922180176
62,Davidson,11.413752555847168,14.053754806518555
63,Randolph,11.031418800354004,12.95988655090332
64,McDowell,12.004801750183105,30.394065856933594
65,Catawba,10.227957725524902,16.227935791015625
66,Burke,11.535913467407227,29.272377014160156
67,Tyrrell,14.486824035644531,24.184406280517578
68,Edgecombe,15.625998497009277,17.833309173583984
69,Washington,13.230281829833984,19.750469207763672
70,Nash,14.908661842346191,19.30510902404785
71,Madison,16.0331974029541,30.726428985595703
72,Yancey,17.275554656982422,37.469852447509766
73,Davie,10.773599624633789,12.030182838439941
74,Caldwell,10.809008598327637,28.39520835876465
75,Alexander,10.639140129089355,16.06938362121582
76,Bertie,12.945631980895996,18.222267150878906
77,Mitchell,17.318784713745117,26.131282806396484
78,Guilford,11.478333473205566,14.211647033691406
79,Avery,18.316341400146484,30.214345932006836
80,Forsyth,10.849912643432617,14.573593139648438
81,Chowan,15.152830123901367,22.90559196472168
82,Halifax,13.51241397857666,19.035846710205078
83,Granville,11.814369201660156,13.67281436920166
84,Perquimans,14.87023639678955,22.270572662353516
85,Yadkin,10.204538345336914,12.089412689208984
86,Currituck,18.071252822875977,25.851163864135742
87,Pasquotank,15.224625587463379,24.5999755859375
88,Watauga,17.83699607849121,33.03334045410156
89,Vance,12.815083503723145,14.645221710205078
90,Northampton,13.446550369262695,17.815017700195312
91,Warren,11.171067237854004,13.698836326599121
92,Person,11.98282241821289,13.588531494140625
93,Caswell,10.681472778320312,13.682892799377441
94,Rockingham,9.928017616271973,12.650728225708008
95,Surry,10.20660400390625,14.258705139160156
96,Hertford,14.425642013549805,19.16421890258789
97,Stokes,9.488640785217285,14.721843719482422
98,Ashe,14.485588073730469,26.55963897705078
99,Alleghany,17.038002014160156,29.192646026611328
