,County,mean,max
0,Camden,16.22969627380371,26.419452667236328
1,Gates,16.155576705932617,18.740753173828125
2,Iredell,11.929021835327148,15.530465126037598
3,Wilkes,12.270757675170898,26.01280403137207
4,Union,11.470294952392578,12.848129272460938
5,Cabarrus,12.190568923950195,16.073823928833008
6,Wake,12.589391708374023,16.018827438354492
7,Franklin,12.3761625289917,14.524975776672363
8,Pender,13.373449325561523,23.933826446533203
9,New Hanover,16.499927520751953,26.701427459716797
10,Durham,10.782804489135742,12.907577514648438
11,Orange,11.670954704284668,14.766886711120605
12,Chatham,10.817428588867188,13.585505485534668
13,Alamance,13.251506805419922,14.81704330444336
14,Harnett,12.660957336425781,15.86485481262207
15,Moore,10.498065948486328,15.222074508666992
16,Beaufort,14.06216049194336,20.925642013549805
17,Martin,16.673067092895508,20.43555450439453
18,Pitt,18.069665908813477,19.95020866394043
19,Greene,17.5900821685791,19.135961532592773
20,Wilson,15.417869567871094,17.19329833984375
21,Wayne,15.695045471191406,17.023937225341797
22,Anson,10.0079927444458,13.126277923583984
23,Lenoir,16.943714141845703,19.28280258178711
24,Robeson,14.959759712219238,21.74094009399414
25,Hoke,12.782156944274902,15.056048393249512
26,Johnston,14.534218788146973,20.277145385742188
27,Brunswick,12.315998077392578,29.04218292236328
28,Columbus,12.269390106201172,15.18045425415039
29,Bladen,11.739628791809082,18.26253890991211
30,Onslow,14.974737167358398,24.10227394104004
31,Sampson,14.07444953918457,17.374706268310547
32,Carteret,23.318424224853516,33.07560729980469
33,Duplin,15.867827415466309,17.767850875854492
34,Scotland,12.869192123413086,14.377819061279297
35,Richmond,10.425835609436035,16.363025665283203
36,Jones,13.939460754394531,17.274646759033203
37,Craven,14.00679874420166,19.599300384521484
38,Cumberland,12.752370834350586,14.945199012756348
39,Pamlico,21.984418869018555,32.710609436035156
40,Mecklenburg,11.422370910644531,14.845098495483398
41,Jackson,14.87435531616211,24.381982803344727
42,Transylvania,15.214808464050293,27.526248931884766
43,Hyde,23.882123947143555,34.48455810546875
44,Montgomery,9.840362548828125,14.95258903503418
45,Stanly,11.356715202331543,15.847537994384766
46,Gaston,10.497075080871582,12.028366088867188
47,Cleveland,11.211909294128418,14.734031677246094
48,Macon,16.066978454589844,29.21896743774414
49,Cherokee,11.98483943939209,25.520109176635742
50,Clay,13.415127754211426,25.986465454101562
51,Henderson,14.498200416564941,21.98894691467285
52,Rutherford,10.676544189453125,21.21104621887207
53,Polk,10.546399116516113,15.009429931640625
54,Dare,27.01990509033203,35.39887619018555
55,Lee,13.3456392288208,19.709888458251953
56,Graham,15.920899391174316,32.802894592285156
57,Haywood,16.906679153442383,33.231624603271484
58,Swain,15.778695106506348,30.09097671508789
59,Lincoln,10.7149019241333,13.757009506225586
60,Buncombe,14.426894187927246,28.495756149291992
61,Rowan,11.807371139526367,13.608434677124023
62,Davidson,13.62782096862793,20.40863800048828
63,Randolph,12.01451301574707,15.498811721801758
64,McDowell,12.789620399475098,26.12148666381836
65,Catawba,10.479966163635254,15.89000129699707
66,Burke,12.074007034301758,28.24327850341797
67,Tyrrell,16.88104248046875,31.833330154418945
68,Edgecombe,16.941247940063477,19.881404876708984
69,Washington,16.90973663330078,27.891748428344727
70,Nash,14.653338432312012,16.08131217956543
71,Madison,14.895364761352539,27.488555908203125
72,Yancey,16.021055221557617,31.136178970336914
73,Davie,12.053949356079102,14.62703800201416
74,Caldwell,11.609710693359375,28.93158531188965
75,Alexander,12.636693954467773,15.531088829040527
76,Bertie,15.363767623901367,22.001258850097656
77,Mitchell,17.56545639038086,27.79378890991211
78,Guilford,12.463787078857422,15.612929344177246
79,Avery,18.49650764465332,28.94618797302246
80,Forsyth,11.556228637695312,17.932987213134766
81,Chowan,17.326492309570312,23.32815170288086
82,Halifax,14.7963285446167,18.4753475189209
83,Granville,12.258614540100098,14.20999526977539
84,Perquimans,16.779239654541016,27.934541702270508
85,Yadkin,11.404601097106934,13.27525520324707
86,Currituck,23.773723602294922,33.66542053222656
87,Pasquotank,17.374427795410156,29.603689193725586
88,Watauga,17.642515182495117,31.649276733398438
89,Vance,13.076735496520996,15.145281791687012
90,Northampton,16.899797439575195,20.71619415283203
91,Warren,11.623061180114746,14.69477653503418
92,Person,13.367876052856445,15.48558235168457
93,Caswell,11.647067070007324,14.384641647338867
94,Rockingham,11.059488296508789,12.78150749206543
95,Surry,11.446352005004883,15.64140796661377
96,Hertford,16.08357810974121,20.533531188964844
97,Stokes,11.140981674194336,14.724185943603516
98,Ashe,14.886242866516113,25.03462791442871
99,Alleghany,17.446420669555664,27.84906768798828
