,County,mean,max
0,Camden,12.772863388061523,19.59695053100586
1,Gates,12.066515922546387,14.61098575592041
2,Iredell,11.417169570922852,14.38989543914795
3,Wilkes,11.979440689086914,25.719898223876953
4,Union,12.181102752685547,14.432236671447754
5,Cabarrus,11.589542388916016,12.911063194274902
6,Wake,11.861832618713379,14.880805969238281
7,Franklin,11.572784423828125,15.229451179504395
8,Pender,11.18442153930664,22.833415985107422
9,New Hanover,16.058191299438477,26.617387771606445
10,Durham,10.092973709106445,12.111043930053711
11,Orange,10.958274841308594,13.873167991638184
12,Chatham,10.419624328613281,13.008523941040039
13,Alamance,12.422432899475098,14.018335342407227
14,Harnett,12.392701148986816,14.71335220336914
15,Moore,10.177477836608887,12.676213264465332
16,Beaufort,11.30795669555664,14.907050132751465
17,Martin,12.397100448608398,14.538593292236328
18,Pitt,13.714271545410156,18.039533615112305
19,Greene,15.792917251586914,22.761404037475586
20,Wilson,14.338595390319824,15.145030975341797
21,Wayne,14.183481216430664,17.228618621826172
22,Anson,10.181482315063477,11.883928298950195
23,Lenoir,13.089143753051758,15.103981971740723
24,Robeson,14.960894584655762,22.658849716186523
25,Hoke,12.79666519165039,17.612733840942383
26,Johnston,13.892204284667969,15.553373336791992
27,Brunswick,11.847602844238281,28.400405883789062
28,Columbus,12.946435928344727,17.208656311035156
29,Bladen,11.670944213867188,15.177743911743164
30,Onslow,12.237125396728516,22.40534210205078
31,Sampson,14.092220306396484,20.523666381835938
32,Carteret,18.27974510192871,28.894559860229492
33,Duplin,13.059640884399414,14.98829174041748
34,Scotland,13.069494247436523,15.632299423217773
35,Richmond,10.806661605834961,12.963888168334961
36,Jones,10.687737464904785,14.513678550720215
37,Craven,11.243563652038574,16.206584930419922
38,Cumberland,12.898849487304688,19.525251388549805
39,Pamlico,14.99537467956543,22.01470375061035
40,Mecklenburg,11.17448902130127,12.172256469726562
41,Jackson,15.00943374633789,26.782682418823242
42,Transylvania,16.289785385131836,29.231210708618164
43,Hyde,20.45602798461914,31.784984588623047
44,Montgomery,9.9910249710083,11.142698287963867
45,Stanly,11.668560028076172,12.775593757629395
46,Gaston,11.54414176940918,13.113890647888184
47,Cleveland,12.389970779418945,17.528438568115234
48,Macon,16.748979568481445,29.960529327392578
49,Cherokee,12.213862419128418,24.41196060180664
50,Clay,13.796939849853516,28.547618865966797
51,Henderson,15.522467613220215,23.520626068115234
52,Rutherford,12.393954277038574,22.112638473510742
53,Polk,12.255266189575195,17.65097427368164
54,Dare,22.996843338012695,31.35486602783203
55,Lee,11.766064643859863,13.711819648742676
56,Graham,16.661712646484375,37.091224670410156
57,Haywood,17.022005081176758,35.213417053222656
58,Swain,16.455392837524414,31.534584045410156
59,Lincoln,11.579330444335938,15.417725563049316
60,Buncombe,14.64794921875,28.208480834960938
61,Rowan,11.71450138092041,13.911053657531738
62,Davidson,12.072677612304688,13.703784942626953
63,Randolph,11.467809677124023,13.23791217803955
64,McDowell,14.671530723571777,28.97689437866211
65,Catawba,10.873897552490234,15.99987506866455
66,Burke,12.564994812011719,28.910417556762695
67,Tyrrell,15.009143829345703,26.96037483215332
68,Edgecombe,15.037619590759277,23.128578186035156
69,Washington,12.775459289550781,27.274776458740234
70,Nash,13.777138710021973,15.090605735778809
71,Madison,14.32156753540039,27.080310821533203
72,Yancey,16.471534729003906,31.14885902404785
73,Davie,11.287008285522461,12.244474411010742
74,Caldwell,11.890424728393555,29.673580169677734
75,Alexander,11.374236106872559,15.060653686523438
76,Bertie,11.979031562805176,17.122331619262695
77,Mitchell,17.77100372314453,25.544292449951172
78,Guilford,11.9990816116333,14.114503860473633
79,Avery,18.811786651611328,27.763208389282227
80,Forsyth,10.820807456970215,13.572635650634766
81,Chowan,15.013476371765137,27.758163452148438
82,Halifax,12.748305320739746,14.53555965423584
83,Granville,11.269627571105957,16.387798309326172
84,Perquimans,14.600661277770996,28.07781219482422
85,Yadkin,10.083754539489746,11.89676570892334
86,Currituck,16.538007736206055,23.181760787963867
87,Pasquotank,14.069869995117188,24.631559371948242
88,Watauga,18.561189651489258,32.60639190673828
89,Vance,11.27492618560791,13.526610374450684
90,Northampton,13.730941772460938,19.254562377929688
91,Warren,10.537877082824707,12.61878776550293
92,Person,12.716447830200195,15.884918212890625
93,Caswell,10.970194816589355,13.725653648376465
94,Rockingham,10.341299057006836,12.402162551879883
95,Surry,10.520095825195312,14.681802749633789
96,Hertford,12.293560028076172,16.63694953918457
97,Stokes,9.878881454467773,13.253210067749023
98,Ashe,15.461458206176758,24.94402313232422
99,Alleghany,17.508092880249023,27.870439529418945
