,County,mean,max
0,Camden,12.792296409606934,19.196121215820312
1,Gates,12.057909965515137,14.974732398986816
2,Iredell,11.61594295501709,14.371450424194336
3,Wilkes,12.471185684204102,26.692119598388672
4,Union,11.614851951599121,15.344505310058594
5,Cabarrus,11.845087051391602,14.015271186828613
6,Wake,12.074638366699219,17.380489349365234
7,Franklin,11.093611717224121,13.344015121459961
8,Pender,11.597068786621094,23.271638870239258
9,New Hanover,17.012121200561523,26.59003448486328
10,Durham,10.318720817565918,12.902490615844727
11,Orange,10.754168510437012,13.020967483520508
12,Chatham,10.585745811462402,13.727940559387207
13,Alamance,12.236201286315918,14.784025192260742
14,Harnett,13.019471168518066,15.806550979614258
15,Moore,10.971989631652832,14.692805290222168
16,Beaufort,11.40029239654541,16.533445358276367
17,Martin,12.480663299560547,15.710197448730469
18,Pitt,12.938861846923828,15.926559448242188
19,Greene,13.315091133117676,15.256450653076172
20,Wilson,14.197240829467773,16.445850372314453
21,Wayne,13.392067909240723,14.88995361328125
22,Anson,10.00789737701416,12.124523162841797
23,Lenoir,12.940338134765625,15.41870403289795
24,Robeson,15.896248817443848,18.514074325561523
25,Hoke,13.14736557006836,16.40020751953125
26,Johnston,13.497363090515137,16.467121124267578
27,Brunswick,12.63852310180664,28.237010955810547
28,Columbus,14.104660987854004,19.640697479248047
29,Bladen,12.44379711151123,17.58989715576172
30,Onslow,12.028059959411621,22.705842971801758
31,Sampson,13.753205299377441,15.818012237548828
32,Carteret,17.957054138183594,26.270160675048828
33,Duplin,12.879687309265137,15.85678482055664
34,Scotland,12.881385803222656,15.697851181030273
35,Richmond,10.181270599365234,12.03487777709961
36,Jones,10.819231033325195,16.015016555786133
37,Craven,10.4732027053833,13.71234130859375
38,Cumberland,14.618118286132812,17.045135498046875
39,Pamlico,15.915841102600098,23.680282592773438
40,Mecklenburg,10.201398849487305,13.107938766479492
41,Jackson,15.026958465576172,27.91421890258789
42,Transylvania,16.043039321899414,30.7194881439209
43,Hyde,18.325729370117188,25.9669246673584
44,Montgomery,9.940794944763184,11.711782455444336
45,Stanly,11.90703010559082,13.844006538391113
46,Gaston,9.65356731414795,11.451316833496094
47,Cleveland,11.130253791809082,17.831066131591797
48,Macon,16.182092666625977,29.58956527709961
49,Cherokee,12.09852409362793,24.874540328979492
50,Clay,13.634652137756348,29.197803497314453
51,Henderson,15.522456169128418,23.361730575561523
52,Rutherford,11.441099166870117,24.813806533813477
53,Polk,11.51119327545166,17.861434936523438
54,Dare,20.393613815307617,26.31352996826172
55,Lee,11.05117416381836,13.06609058380127
56,Graham,15.991293907165527,35.429195404052734
57,Haywood,17.223684310913086,35.298805236816406
58,Swain,16.41278648376465,33.15618133544922
59,Lincoln,10.264372825622559,14.952936172485352
60,Buncombe,14.601572036743164,28.873666763305664
61,Rowan,11.615856170654297,14.011231422424316
62,Davidson,12.889164924621582,17.74464225769043
63,Randolph,12.629544258117676,15.529635429382324
64,McDowell,13.969886779785156,30.042871475219727
65,Catawba,10.012299537658691,14.203027725219727
66,Burke,12.15333080291748,30.639087677001953
67,Tyrrell,13.96772575378418,24.531890869140625
68,Edgecombe,14.104653358459473,16.72488021850586
69,Washington,12.66251277923584,21.278154373168945
70,Nash,13.897346496582031,17.0040225982666
71,Madison,14.567333221435547,26.04352569580078
72,Yancey,17.030567169189453,32.89656448364258
73,Davie,10.945220947265625,13.01573371887207
74,Caldwell,12.028761863708496,30.10114288330078
75,Alexander,11.359597206115723,17.391887664794922
76,Bertie,11.988091468811035,17.1378231048584
77,Mitchell,18.074399948120117,28.466917037963867
78,Guilford,11.29141902923584,13.553018569946289
79,Avery,19.530996322631836,29.958219528198242
80,Forsyth,10.272449493408203,12.57454776763916
81,Chowan,14.029839515686035,20.71540069580078
82,Halifax,12.249091148376465,14.677120208740234
83,Granville,10.910266876220703,16.82229995727539
84,Perquimans,14.024506568908691,22.15792465209961
85,Yadkin,10.044351577758789,12.205371856689453
86,Currituck,17.927213668823242,25.578083038330078
87,Pasquotank,13.934707641601562,22.846153259277344
88,Watauga,18.829195022583008,31.56805419921875
89,Vance,11.680582046508789,14.231607437133789
90,Northampton,12.675780296325684,14.824461936950684
91,Warren,10.002789497375488,12.625679969787598
92,Person,11.700868606567383,16.543960571289062
93,Caswell,10.06899356842041,12.232110977172852
94,Rockingham,9.412373542785645,11.992029190063477
95,Surry,11.847655296325684,17.927400588989258
96,Hertford,11.749805450439453,13.440877914428711
97,Stokes,9.978765487670898,15.141361236572266
98,Ashe,14.955317497253418,23.789630889892578
99,Alleghany,18.05331802368164,28.87065315246582
