,County,mean,max
0,Camden,11.565878868103027,18.62781524658203
1,Gates,11.016984939575195,13.384997367858887
2,Iredell,11.51395320892334,14.000890731811523
3,Wilkes,13.265161514282227,31.948915481567383
4,Union,11.631819725036621,13.53467082977295
5,Cabarrus,11.189967155456543,12.824740409851074
6,Wake,10.890060424804688,13.070305824279785
7,Franklin,10.614134788513184,14.091764450073242
8,Pender,10.282234191894531,23.585020065307617
9,New Hanover,14.930535316467285,24.12215232849121
10,Durham,9.436579704284668,11.116897583007812
11,Orange,10.356974601745605,12.277355194091797
12,Chatham,10.098819732666016,12.498149871826172
13,Alamance,11.549370765686035,13.0648775100708
14,Harnett,12.170992851257324,13.403631210327148
15,Moore,9.721267700195312,12.281820297241211
16,Beaufort,10.680922508239746,16.159076690673828
17,Martin,11.123039245605469,13.456305503845215
18,Pitt,12.517208099365234,14.735208511352539
19,Greene,14.017599105834961,16.653526306152344
20,Wilson,13.105456352233887,14.796878814697266
21,Wayne,12.983787536621094,14.736981391906738
22,Anson,9.697698593139648,10.995874404907227
23,Lenoir,12.7589111328125,15.78676986694336
24,Robeson,12.950878143310547,15.815616607666016
25,Hoke,11.936586380004883,17.497713088989258
26,Johnston,12.879300117492676,14.184751510620117
27,Brunswick,10.52701473236084,24.05555534362793
28,Columbus,11.175128936767578,14.902976036071777
29,Bladen,10.794706344604492,14.128863334655762
30,Onslow,11.686806678771973,27.271034240722656
31,Sampson,12.695993423461914,17.652603149414062
32,Carteret,17.518692016601562,28.281566619873047
33,Duplin,12.181653022766113,13.904714584350586
34,Scotland,11.753316879272461,13.111602783203125
35,Richmond,9.764470100402832,11.296281814575195
36,Jones,10.303668022155762,13.381877899169922
37,Craven,10.530786514282227,16.446056365966797
38,Cumberland,11.561075210571289,16.350576400756836
39,Pamlico,15.067941665649414,24.090538024902344
40,Mecklenburg,10.12358283996582,13.17345905303955
41,Jackson,15.420340538024902,28.604358673095703
42,Transylvania,16.543071746826172,33.23725891113281
43,Hyde,18.18444061279297,25.828397750854492
44,Montgomery,9.455342292785645,10.471785545349121
45,Stanly,11.256518363952637,12.600016593933105
46,Gaston,9.6273193359375,11.409795761108398
47,Cleveland,11.11158561706543,18.746932983398438
48,Macon,16.773155212402344,30.53899574279785
49,Cherokee,12.120200157165527,25.90273666381836
50,Clay,14.562713623046875,29.440975189208984
51,Henderson,15.570807456970215,24.128009796142578
52,Rutherford,11.632213592529297,25.972875595092773
53,Polk,11.12125301361084,18.61017608642578
54,Dare,19.401330947875977,26.327720642089844
55,Lee,11.031903266906738,12.869044303894043
56,Graham,16.045751571655273,33.18413162231445
57,Haywood,16.674837112426758,35.12302780151367
58,Swain,16.72580909729004,30.556190490722656
59,Lincoln,10.019953727722168,13.820446014404297
60,Buncombe,14.968544960021973,30.304187774658203
61,Rowan,10.919971466064453,12.262604713439941
62,Davidson,11.304861068725586,14.0714693069458
63,Randolph,11.03347110748291,13.641447067260742
64,McDowell,13.971208572387695,28.613239288330078
65,Catawba,10.90009880065918,15.471807479858398
66,Burke,13.506158828735352,30.667387008666992
67,Tyrrell,12.790637016296387,20.299407958984375
68,Edgecombe,12.573412895202637,14.020210266113281
69,Washington,11.70790958404541,17.899208068847656
70,Nash,12.68330192565918,15.051860809326172
71,Madison,14.571495056152344,27.187925338745117
72,Yancey,15.912718772888184,31.422143936157227
73,Davie,10.707560539245605,12.447731018066406
74,Caldwell,12.725985527038574,31.455463409423828
75,Alexander,12.89243221282959,17.891014099121094
76,Bertie,10.692620277404785,17.131668090820312
77,Mitchell,17.827608108520508,27.461341857910156
78,Guilford,10.682812690734863,12.33509349822998
79,Avery,18.889556884765625,31.071765899658203
80,Forsyth,10.076617240905762,12.868049621582031
81,Chowan,12.556015014648438,17.588825225830078
82,Halifax,11.410734176635742,13.47706413269043
83,Granville,10.275198936462402,12.332727432250977
84,Perquimans,12.35945987701416,17.953418731689453
85,Yadkin,10.530052185058594,13.138081550598145
86,Currituck,15.589982032775879,21.985332489013672
87,Pasquotank,12.416674613952637,18.571090698242188
88,Watauga,18.192668914794922,33.10215377807617
89,Vance,10.886564254760742,13.454158782958984
90,Northampton,11.663309097290039,13.583105087280273
91,Warren,10.254093170166016,12.699009895324707
92,Person,10.699799537658691,12.651533126831055
93,Caswell,9.5372314453125,11.61658000946045
94,Rockingham,9.25277328491211,10.368514060974121
95,Surry,11.644563674926758,17.18357276916504
96,Hertford,11.03823184967041,12.780899047851562
97,Stokes,9.909781455993652,15.734819412231445
98,Ashe,14.409233093261719,26.898160934448242
99,Alleghany,18.048870086669922,33.35881423950195
