,County,Max Cost,Mean Cost,Std Cost
0,Camden,101,0.6545398009950248,8.075729749208223
1,Gates,101,4.1190994916485115,17.88213788261884
2,Iredell,101,12.007799671592775,31.79442415181345
3,Wilkes,101,5.500630119722747,21.792192478892563
4,Union,101,11.556034482758621,31.339291161121842
5,Cabarrus,101,13.76909090909091,34.09572108261168
6,Wake,101,19.368654970760232,39.14291403617682
7,Franklin,101,4.977470355731225,20.19759814126419
8,Pender,101,3.8378066378066378,17.677737667529065
9,New Hanover,101,13.144946808510639,33.4507656783108
10,Durham,101,21.534290271132377,40.78292815972112
11,Orange,101,12.689903846153847,32.62396221932877
12,Chatham,101,7.229320229320229,23.935721154871427
13,Alamance,101,16.708841463414632,36.00923807450768
14,Harnett,101,6.485915492957746,23.703504796861377
15,Moore,101,7.631433823529412,24.563353555553658
16,Beaufort,101,4.527536970933197,18.601908120496425
17,Martin,101,3.3055456171735242,16.143044205566504
18,Pitt,101,5.974053724053724,23.00958548045709
19,Greene,101,2.6293402777777777,15.435819417593109
20,Wilson,101,7.1424010217113665,25.144299321322407
21,Wayne,101,7.533026755852843,26.04282708047968
22,Anson,101,6.221574344023324,21.31895958880359
23,Lenoir,101,5.555555555555555,22.17118946431195
24,Robeson,101,4.929382936065939,21.48187242854948
25,Hoke,101,6.774597495527728,24.25929298794753
26,Johnston,101,6.138461538461539,23.581918375872384
27,Brunswick,101,7.318112633181126,24.71441697845571
28,Columbus,101,3.0266798418972334,15.86071661887625
29,Bladen,101,4.125135135135135,18.157278805767874
30,Onslow,101,7.816969696969697,25.77809411635796
31,Sampson,101,3.958760537707906,18.517063590974672
32,Carteret,101,1.6750136836343732,12.676758778268919
33,Duplin,101,5.554359925788497,21.72248466426416
34,Scotland,101,6.837194337194338,23.61937845748069
35,Richmond,101,7.21001221001221,23.732754668588203
36,Jones,101,1.8793313069908815,11.74647453453757
37,Craven,101,3.5901671200932763,17.561311521370417
38,Cumberland,101,13.9498556998557,33.991150012907134
39,Pamlico,101,1.8433402346445824,12.849541759082378
40,Mecklenburg,101,31.544117647058822,46.10717659838374
41,Jackson,101,4.827317473338803,21.245047684826407
42,Transylvania,101,3.9686411149825784,19.424587421894536
43,Hyde,101,0.5982713915298185,7.657043607325201
44,Montgomery,101,5.64500442086649,20.600510953012293
45,Stanly,101,7.498237367802585,25.62576982549591
46,Gaston,101,18.616402116402117,38.346991297265916
47,Cleveland,101,9.927131782945736,28.842409966983748
48,Macon,101,5.336607142857143,22.372038892394368
49,Cherokee,101,5.00927734375,21.266799698112617
50,Clay,101,3.683217477656405,18.64591790696344
51,Henderson,101,10.522338665195807,30.45550809179929
52,Rutherford,101,8.539015151515152,26.7856671125891
53,Polk,101,7.067391304347826,23.982915607173243
54,Dare,101,1.539850357839948,12.297052800969785
55,Lee,101,6.790909090909091,23.641519251242865
56,Graham,101,3.347826086956522,17.81105084107616
57,Haywood,101,6.0154600301659125,23.445922874755983
58,Swain,101,1.2917025552684467,11.191897911877854
59,Lincoln,101,14.317261330761813,34.43264666332306
60,Buncombe,101,11.873450750163078,32.28447478429132
61,Rowan,101,8.776576576576577,27.617832582743716
62,Davidson,101,9.59958071278826,28.805387624858103
63,Randolph,101,14.101799034664326,32.8290369993471
64,McDowell,101,5.134510869565218,21.347146339170692
65,Catawba,101,14.197441601779754,34.367969769374135
66,Burke,101,6.304761904761905,23.76470999547565
67,Tyrrell,101,0.6287719298245614,7.798498296776507
68,Edgecombe,101,4.3215326947105375,19.73140948082084
69,Washington,101,2.8388235294117647,16.09076895846623
70,Nash,101,5.707482993197279,22.346616975003453
71,Madison,101,3.0728070175438598,16.949278228630558
72,Yancey,101,2.6927631578947366,15.8410592497608
73,Davie,101,6.565367965367965,24.237386860680722
74,Caldwell,101,9.830526315789474,29.474069151621585
75,Alexander,101,7.569387755102041,25.328822850106853
76,Bertie,101,3.724159402241594,16.648793287869616
77,Mitchell,101,2.7248366013071896,15.8947345293218
78,Guilford,101,28.800415800415802,44.61985051653771
79,Avery,101,5.5511695906432745,22.124323396808336
80,Forsyth,101,28.84081632653061,44.997299624347136
81,Chowan,101,2.7443223443223443,16.103096612499062
82,Halifax,101,3.6634615384615383,17.18520493014629
83,Granville,101,6.528301886792453,23.23286401827535
84,Perquimans,101,2.592192192192192,15.243333569708975
85,Yadkin,101,8.806086956521739,27.58140137990445
86,Currituck,101,1.521494708994709,12.099272503764118
87,Pasquotank,101,2.6578014184397163,16.08526459248373
88,Watauga,101,7.871606749816581,26.748941890897758
89,Vance,101,9.078974358974358,27.715013407516683
90,Northampton,101,3.300754147812971,16.34541506660928
91,Warren,101,6.631818181818182,21.302433263080093
92,Person,101,9.070945945945946,26.505195190342572
93,Caswell,101,7.518489378442172,22.662913404520783
94,Rockingham,101,12.015216068167986,30.906989634652284
95,Surry,101,9.570806100217865,28.544310575572393
96,Hertford,101,4.109080188679245,18.104596846771702
97,Stokes,101,9.042521994134898,27.7042605228429
98,Ashe,101,5.366386554621848,21.94684670334951
99,Alleghany,101,6.7727272727272725,24.135440608211347
